Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",3.850000,11.300000,0.000000,top
"C41","100nF","C_0402_1005Metric",3.350000,4.800000,90.000000,top
"C51","100nF","C_0402_1005Metric",4.300000,4.650000,90.000000,top
"C81","27pF","C_0402_1005Metric",3.900000,1.400000,90.000000,top
"C101","27pF","C_0402_1005Metric",9.350000,1.400000,90.000000,top
"C111","100nF","C_0402_1005Metric",9.200000,3.650000,90.000000,top
"C121","3.9pF","C_0402_1005Metric",10.350000,5.650000,0.000000,top
"C122","8.2pF","C_0402_1005Metric",12.750000,4.650000,90.000000,top
"C123","5.6pF","C_0402_1005Metric",14.650000,4.650000,90.000000,top
"C124","220pF","C_0402_1005Metric",10.350000,2.000000,90.000000,top
"C125","220pF","C_0402_1005Metric",16.000000,7.150000,90.000000,top
"C131","3.9pF","C_0402_1005Metric",9.850000,8.750000,90.000000,top
"C151","100nF","C_0402_1005Metric",8.850000,10.300000,90.000000,top
"C181","100nF","C_0402_1005Metric",5.750000,11.300000,0.000000,top
"J1","U.FL","U.FL_Hirose_U.FL-R-SMT-1_Vertical",16.000000,10.150000,90.000000,top
"J2","1x08 1.27mm","PinHeader_1x08_P1.27mm_Vertical",1.300000,10.800000,0.000000,top
"L121","27nH","L_0402_1005Metric",10.350000,4.150000,90.000000,top
"L122","22nH","L_0402_1005Metric",12.250000,6.350000,0.000000,top
"L123","27nH","L_0402_1005Metric",14.150000,6.350000,0.000000,top
"L131","27nH","L_0402_1005Metric",10.350000,7.050000,0.000000,top
"R171","56k 1%","R_0402_1005Metric",7.600000,10.300000,90.000000,top
"U1","CC1101RGPR","Texas_RGP0020H_VQFN-20-1EP_4x4mm_P0.5mm_EP2.4x2.4mm",6.500000,6.600000,0.000000,top
"Y1","26MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",6.600000,2.000000,0.000000,top
