f_MHz,S11_dB,Re_Zin,Im_Zin
2.603519999999999754e+02,-1.046286108255522485e-01,3.352149857831049906e-01,1.681832486992904663e+01
2.605689600000000041e+02,-9.916098682344229309e-02,3.176582853889263758e-01,1.680804107360246391e+01
2.607859199999999760e+02,-9.302365114215432884e-02,2.979671879116775890e-01,1.679952769971367488e+01
2.610028800000000047e+02,-8.627144045008686146e-02,2.763172665050210863e-01,1.679295441066804173e+01
2.612198399999999765e+02,-7.896339361483364905e-02,2.528969954796151387e-01,1.678847328991099275e+01
2.614368000000000052e+02,-7.116218180396316484e-02,2.279059532957806999e-01,1.678621796211244899e+01
2.616537599999999770e+02,-6.293352029755414079e-02,2.015529856983113155e-01,1.678630290358838195e+01
2.618707200000000057e+02,-5.434556921478880115e-02,1.740543499513005077e-01,1.678882294018155363e+01
2.620876799999999776e+02,-4.546833006605167232e-02,1.456318597574889073e-01,1.679385292745670810e+01
2.623046400000000062e+02,-3.637304463226826573e-02,1.165110488033492542e-01,1.680144760604506615e+01
2.625215999999999781e+02,-2.713160217494991686e-02,8.691936905663155688e-02,1.681164162330022549e+01
2.627385600000000068e+02,-1.781596040959883623e-02,5.708443800494099329e-02,1.682444971111537413e+01
2.629555199999999786e+02,-8.497585058076568068e-03,2.723234703837755857e-02,1.683986700879782461e+01
2.631724800000000073e+02,7.530878500731066818e-04,-2.413958804965171245e-03,1.685786951928088584e+01
2.633894399999999791e+02,9.867163406258037603e-03,-3.163622142704985984e-02,1.687841468666048783e+01
2.636064000000000078e+02,1.877777010078162528e-02,-6.022232410688339865e-02,1.690144208301918383e+01
2.638233599999999797e+02,2.742051068108353196e-02,-8.796765497287208080e-02,1.692687419275140925e+01
2.640403200000000083e+02,3.573387989323965896e-02,-1.146763761972245249e-01,1.695461728303631688e+01
2.642572799999999802e+02,4.365964793375035763e-02,-1.401625969126656379e-01,1.698456234972623946e+01
2.644742400000000089e+02,5.114320890313995421e-02,-1.642514489527876487e-01,1.701658612865217890e+01
2.646911999999999807e+02,5.813389395860155823e-02,-1.867800654169574914e-01,1.705055216317707334e+01
2.649081600000000094e+02,6.458524920399774660e-02,-2.075984627483193623e-01,1.708631191969008256e+01
2.651251199999999812e+02,7.045527863273018387e-02,-2.265703274990828464e-01,1.712370594361932064e+01
2.653420800000000099e+02,7.570665265567753932e-02,-2.435737092577049401e-01,1.716256504939062211e+01
2.655590399999999818e+02,8.030688290418150355e-02,-2.585016213385411543e-01,1.720271153856117152e+01
2.657760000000000105e+02,8.422846410225365288e-02,-2.712625508083087444e-01,1.724396044107656323e+01
2.659929599999999823e+02,8.744898385912841521e-02,-2.817808792698707210e-01,1.728612077522100066e+01
2.662099200000000110e+02,8.995120124826763708e-02,-2.899972155645613170e-01,1.732899682233245997e+01
2.664268799999999828e+02,9.172309501837930257e-02,-2.958686412132615629e-01,1.737238941272697090e+01
2.666438400000000115e+02,9.275788223665702714e-02,-2.993688690337650282e-01,1.741609721951042644e+01
2.668607999999999834e+02,9.305400809441109755e-02,-3.004883149516351937e-01,1.745991805704945321e+01
2.670777600000000120e+02,9.261510752688845161e-02,-2.992340826196547288e-01,1.750365018082093371e+01
2.672947199999999839e+02,9.144993921018559901e-02,-2.956298600763463402e-01,1.754709358517202133e+01
2.675116800000000126e+02,8.957229241488831595e-02,-2.897157273599840765e-01,1.759005129520442878e+01
2.677286399999999844e+02,8.700086711494378622e-02,-2.815478737451931890e-01,1.763233064856103027e+01
2.679456000000000131e+02,8.375912768775981010e-02,-2.711982231389522546e-01,1.767374456235235414e+01
2.681625599999999849e+02,7.987513049537353638e-02,-2.587539661566510829e-01,1.771411277984369192e+01
2.683795200000000136e+02,7.538132561565739909e-02,-2.443169975257771243e-01,1.775326309083868992e+01
2.685964799999999855e+02,7.031433300122502672e-02,-2.280032577474593869e-01,1.779103251898230553e+01
2.688134400000000142e+02,6.471469338573423991e-02,-2.099419783941246509e-01,1.782726846848521518e+01
2.690303999999999860e+02,5.862659433404530940e-02,-1.902748310343060911e-01,1.786182982207281356e+01
2.692473600000000147e+02,5.209757194948116954e-02,-1.691549805639706305e-01,1.789458798132449857e+01
2.694643199999999865e+02,4.517818890663557324e-02,-1.467460446732549717e-01,1.792542784001470935e+01
2.696812800000000152e+02,3.792168967267094820e-02,-1.232209622795387149e-01,1.795424868063983226e+01
2.698982399999999870e+02,3.038363401415521484e-02,-9.876077500213235882e-02,1.798096498403600663e+01
2.701152000000000157e+02,2.262151015422757261e-02,-7.355332710407051777e-02,1.800550714189979118e+01
2.703321599999999876e+02,1.469432924533225354e-02,-4.779189076671361974e-02,1.802782206213534621e+01
2.705491200000000163e+02,6.662203150550253042e-03,-2.167372505698828694e-02,1.804787365729506732e+01
2.707660799999999881e+02,-1.414092129267757346e-03,4.601421555091991973e-03,1.806564320696795534e+01
2.709830400000000168e+02,-9.473564687261371367e-03,3.083285379412399260e-02,1.808112958581111940e+01
2.711999999999999886e+02,-1.745546354731777883e-02,5.682050455858161930e-02,1.809434935001902645e+01
2.714169600000000173e+02,-2.529974070322741839e-02,8.236652827244406172e-02,1.810533667636968147e+01
2.716339199999999892e+02,-3.294751462796617625e-02,1.072768974864835440e-01,1.811414314956869021e+01
2.718508800000000178e+02,-4.034153122476701048e-02,1.313629867062162115e-01,1.812083739540187111e+01
2.720678399999999897e+02,-4.742661793920895791e-02,1.544431267714052869e-01,1.812550455917618564e+01
2.722848000000000184e+02,-5.415012655698525634e-02,1.763441127484028093e-01,1.812824563103229636e+01
2.725017599999999902e+02,-6.046236008149971641e-02,1.969026482350811069e-01,1.812917662190704959e+01
2.727187200000000189e+02,-6.631697903633050617e-02,2.159667092607321648e-01,1.812842759615901755e+01
2.729356799999999907e+02,-7.167138256878134717e-02,2.333968115706112068e-01,1.812614156908193408e+01
2.731526400000000194e+02,-7.648705985511236594e-02,2.490671660382020869e-01,1.812247327967249433e+01
2.733695999999999913e+02,-8.072990752515309121e-02,2.628667082246190501e-01,1.811758785101979896e+01
2.735865600000000200e+02,-8.437050913363518256e-02,2.746999896786604389e-01,1.811165935250222958e+01
2.738035199999999918e+02,-8.738437310748972675e-02,2.844879204200053135e-01,1.810486927955376402e+01
2.740204800000000205e+02,-8.975212608292980343e-02,2.921683541168744735e-01,1.809740496805559573e+01
2.742374399999999923e+02,-9.145965910661456311e-02,2.976965097173663866e-01,1.808945796138623052e+01
