f_MHz,Z11r,Z11i,Z12r,Z12i,Z21r,Z21i,Z22r,Z22i
5.209800000000000182e+02,7.857718505854252578e-02,3.721146782547067744e+01,-4.155261208799888029e-01,-1.968854114564666347e+01,-1.520213992742694309e+00,-2.022005482280984623e+01,6.315133550199568901e+00,-2.669664380949465681e+02
5.214141499999999496e+02,7.842010329592351281e-02,3.724485002737444717e+01,-4.006114849329953653e-01,-1.971267803313462608e+01,-1.526351043707660393e+00,-2.017204769777724493e+01,5.888549362259118070e+00,-2.665088399538163344e+02
5.218482999999999947e+02,7.812351520174112829e-02,3.727825845178828246e+01,-3.857309554463105306e-01,-1.973795106034686597e+01,-1.527421505170226901e+00,-2.012419379744369152e+01,5.473317573643226908e+00,-2.660227227680016995e+02
5.222824500000000398e+02,7.768935222775810723e-02,3.731170327375279072e+01,-3.709690398212349138e-01,-1.976434480763656154e+01,-1.523484386526696932e+00,-2.007685053229202410e+01,5.071451498170331362e+00,-2.655093106690334253e+02
5.227165999999999713e+02,7.712034162915036573e-02,3.734519442987138405e+01,-3.564076603865118931e-01,-1.979183741873160685e+01,-1.514624977681398255e+00,-2.003036598754239250e+01,4.684833517386988611e+00,-2.649699668095014431e+02
5.231507500000000164e+02,7.641997323385868457e-02,3.737874154813393801e+01,-3.421256500785833654e-01,-1.982040096599133605e+01,-1.500953514463793992e+00,-1.998507687544051237e+01,4.315205784043127935e+00,-2.644061787864546886e+02
5.235848999999999478e+02,7.559245934164378344e-02,3.741235388293073783e+01,-3.281982997395780366e-01,-1.985000185542948614e+01,-1.482603678797770108e+00,-1.994130668204247669e+01,3.964162675624242294e+00,-2.638195435549019408e+02
5.240190499999999929e+02,7.464268861847138392e-02,3.744604025595604213e+01,-3.146969597647804040e-01,-1.988060126391021143e+01,-1.459730963053887720e+00,-1.989936402070654609e+01,3.633144993038460058e+00,-2.632117520577261871e+02
5.244532000000000380e+02,7.357617492174611806e-02,3.747980900355478440e+01,-3.016886976744016513e-01,-1.991215560090043724e+01,-1.432510928377002557e+00,-1.985954119992901212e+01,3.323435868881591926e+00,-2.625845737877253896e+02
5.248873499999999694e+02,7.239900202202821655e-02,3.751366793090827656e+01,-2.892360120869515994e-01,-1.994461698730420096e+01,-1.401137386426563936e+00,-1.982211300875676230e+01,3.036158322302497492e+00,-2.619398414825966483e+02
5.253215000000000146e+02,7.111776520884358077e-02,3.754762427330572905e+01,-2.773966025490496867e-01,-1.997793374420592727e+01,-1.365820532962234379e+00,-1.978733571889295462e+01,2.772274373746400844e+00,-2.612794361355531692e+02
5.257556499999999460e+02,6.973951075012281564e-02,3.758168466460582380e+01,-2.662231937613958599e-01,-2.001205088479782290e+01,-1.326785060150311946e+00,-1.975544629888349490e+01,2.532585613152546600e+00,-2.606052724836032439e+02
5.261897999999999911e+02,6.827167414945750634e-02,3.761585511285422001e+01,-2.557634119449100907e-01,-2.004691060330133823e+01,-1.284268272446308368e+00,-1.972666183246429483e+01,2.317735099616288430e+00,-2.599192851130496820e+02
5.266239500000000362e+02,6.672201809340458367e-02,3.765014098289628919e+01,-2.460597104053970363e-01,-2.008245275533563401e+01,-1.238518228515047781e+00,-1.970117913035474899e+01,2.128210459222123152e+00,-2.592234152985406581e+02
5.270580999999999676e+02,6.509857091309878552e-02,3.768454698572337236e+01,-2.371493408362493893e-01,-2.011861532487394300e+01,-1.189791929026863260e+00,-1.967917452248515886e+01,1.964348040334706891e+00,-2.585195986684026366e+02
5.274922500000000127e+02,6.340956631716980485e-02,3.771907717418762473e+01,-2.290643664673618352e-01,-2.015533487364375276e+01,-1.138353567341709560e+00,-1.966080381586177239e+01,1.826337982212695721e+00,-2.578097537659136265e+02
5.279263999999999442e+02,6.166338505717764568e-02,3.775373494464690083e+01,-2.218317129054316605e-01,-2.019254696957113993e+01,-1.084472857236566057e+00,-1.964620240201372070e+01,1.714230052657835346e+00,-2.570957715541086941e+02
5.283605499999999893e+02,5.986849910451565171e-02,3.778852304403995532e+01,-2.154732523386064524e-01,-2.023018659158609012e+01,-1.028423448952628938e+00,-1.963548549716237090e+01,1.627940113388790078e+00,-2.563795058909890372e+02
5.287947000000000344e+02,5.803341881976697286e-02,3.782344358184681710e+01,-2.100059167323299336e-01,-2.026818850880552247e+01,-9.704814420634187977e-01,-1.962874849791054288e+01,1.567257077483368732e+00,-2.556627649832188638e+02
5.292288499999999658e+02,5.616664350048260895e-02,3.785849804635590488e+01,-2.054418356881399788e-01,-2.030648763276636615e+01,-9.109240010130029708e-01,-1.962606743529258679e+01,1.531850230873726071e+00,-2.549473038094612605e+02
