f_MHz,tune L405,S1 R331,shunt C331,S2 L331,S11_dB,power_to_antenna_pct
870,0R,0R,5.6pF,4.3pF,-36.7,99
871,0R,0R,5.6pF,4.3pF,-48.5,98
872,0R,0R,5.6pF,4.3pF,-33.0,98
873,0R,0R,5.6pF,4.3pF,-27.6,98
874,0R,1.5pF,1.2pF,0R,-36.6,98
875,0R,0R,6.2pF,3.9pF,-27.5,98
876,0R,0R,6.2pF,3.9pF,-33.2,98
877,0R,0R,6.2pF,3.9pF,-36.4,98
878,0R,0R,6.2pF,3.9pF,-29.4,98
879,0R,0R,6.2pF,3.9pF,-24.8,98
880,0R,1.3pF,1.2pF,0R,-35.5,98
881,0R,0R,6.2pF,3.6pF,-30.0,98
882,0R,0R,6.2pF,3.6pF,-31.9,98
883,0R,0R,6.2pF,3.6pF,-27.6,98
884,0R,1.2pF,1.2pF,0R,-35.2,98
885,0R,0R,6.8pF,3.3pF,-23.9,98
886,0R,0R,6.8pF,3.3pF,-28.7,98
887,0R,0R,6.2pF,3.3pF,-28.6,98
888,0R,0R,6.2pF,3.3pF,-28.6,98
889,0R,0R,6.2pF,3.3pF,-24.9,98
890,0R,0R,6.2pF,3.3pF,-21.6,98
891,0R,1.1pF,1.1pF,0R,-31.3,97
892,0R,0R,6.2pF,3pF,-26.5,98
893,0R,0R,6.2pF,3pF,-36.7,98
894,0R,0R,6.2pF,3pF,-32.8,98
895,0R,0R,5.6pF,3pF,-26.0,98
896,0R,0R,5.6pF,3pF,-25.6,98
897,0R,1.2pF,0.91pF,0R,-24.1,98
898,0R,1.1pF,0.91pF,0R,-25.7,98
899,0R,1.2pF,0.82pF,0R,-27.6,98
900,0R,1.2pF,0.82pF,0R,-32.1,98
901,0R,0R,5.1pF,2.7pF,-26.4,98
902,0R,0R,5.1pF,2.7pF,-29.8,98
903,0R,0R,4.7pF,2.7pF,-39.5,98
904,0R,0R,4.7pF,2.7pF,-34.0,98
905,0R,0R,4.3pF,2.7pF,-34.9,98
906,0R,0R,4.3pF,2.7pF,-32.1,98
907,0R,0R,3.9pF,2.7pF,-29.4,99
908,0R,0R,3.9pF,2.7pF,-28.1,99
909,0R,0R,3.6pF,2.7pF,-27.3,99
910,0R,0R,3.6pF,2.7pF,-26.7,99
911,0R,0R,3.3pF,2.7pF,-26.2,99
912,0R,0R,3.3pF,2.7pF,-26.3,99
913,0R,0R,3pF,2.7pF,-26.0,99
914,0R,0R,3pF,2.7pF,-26.4,99
915,0R,0R,2.7pF,2.7pF,-25.8,99
916,0R,0R,2.7pF,2.7pF,-27.1,99
917,0R,0R,2.7pF,2.7pF,-27.5,99
918,0R,0R,2.4pF,2.7pF,-28.2,99
919,0R,0R,2.2pF,2.7pF,-27.0,99
920,0R,0R,2.2pF,2.7pF,-29.6,99
921,0R,0R,2.2pF,2.7pF,-32.5,99
922,0R,0R,2pF,2.7pF,-30.3,99
923,0R,0R,2pF,2.7pF,-34.5,99
924,0R,0R,2pF,2.7pF,-48.0,99
925,0R,0R,2pF,2.7pF,-40.5,99
926,0R,0R,1.8pF,2.7pF,-37.0,99
927,0R,0R,1.8pF,2.7pF,-36.7,99
928,0R,0R,1.8pF,2.7pF,-33.7,99
