Designator,Mid X,Mid Y,Layer,Rotation
L122,44.250mm,37.750mm,Top,0
C41,35.000mm,36.200mm,Top,90
AE4,68.000mm,12.000mm,Top,90
C122,44.750mm,36.050mm,Top,90
C124,42.350mm,33.400mm,Top,90
L311,58.000mm,33.500mm,Top,0
J1,67.300mm,26.200mm,Top,0
C601,41.350mm,3.300mm,Top,90
C6,52.600mm,25.500mm,Top,90
L631,42.350mm,8.950mm,Top,0
L623,47.900mm,8.600mm,Top,0
C181,37.750mm,42.700mm,Top,0
C131,41.850mm,40.150mm,Top,90
C651,40.850mm,12.200mm,Top,90
C151,40.850mm,41.700mm,Top,90
L331,61.000mm,12.000mm,Top,0
C624,43.750mm,3.900mm,Top,90
L123,46.150mm,37.750mm,Top,0
C581,35.900mm,3.300mm,Top,90
AE3,68.000mm,3.300mm,Top,0
C681,37.750mm,13.200mm,Top,0
C611,41.000mm,5.550mm,Top,90
D1,46.500mm,17.500mm,Top,0
C625,51.850mm,8.600mm,Top,0
Y501,38.600mm,3.900mm,Top,0
C51,35.950mm,35.900mm,Top,90
L121,42.350mm,35.550mm,Top,90
C8,42.275mm,16.537mm,Top,90
L632,45.400mm,9.900mm,Top,0
C621,43.750mm,8.250mm,Top,90
C541,35.000mm,6.700mm,Top,90
R301,53.200mm,41.700mm,Top,0
U3,40.000mm,22.000mm,Top,180
L622,43.750mm,5.900mm,Top,90
C121,42.350mm,37.050mm,Top,0
C631,43.750mm,10.600mm,Top,90
C7,42.275mm,27.463mm,Top,90
C622,45.400mm,7.300mm,Top,0
L624,49.900mm,8.600mm,Top,0
R671,39.600mm,12.200mm,Top,90
C125,48.000mm,38.550mm,Top,90
L131,42.350mm,38.450mm,Top,0
R321,56.200mm,3.300mm,Top,0
Y1,38.600mm,33.400mm,Top,0
C101,41.350mm,32.800mm,Top,90
AE2,68.000mm,33.500mm,Top,90
C123,46.650mm,36.050mm,Top,90
C551,35.950mm,6.400mm,Top,90
U1,38.500mm,38.000mm,Top,0
J3,5.100mm,21.720mm,Top,270
U501,38.500mm,8.500mm,Top,0
L321,61.000mm,3.300mm,Top,0
C5,44.900mm,25.500mm,Top,90
R1,49.500mm,17.500mm,Top,0
R171,39.600mm,41.700mm,Top,90
J4,27.140mm,21.720mm,Top,270
L301,58.000mm,41.700mm,Top,0
C111,41.000mm,35.050mm,Top,90
AE1,68.000mm,41.700mm,Top,180
J2,67.300mm,18.800mm,Top,0
U2,48.800mm,25.500mm,Top,0
C623,48.400mm,6.900mm,Top,90
L621,42.350mm,7.550mm,Top,0
C81,35.900mm,32.800mm,Top,90
S1,8.500mm,21.720mm,Top,270
S2,23.740mm,21.720mm,Top,270
